"","HydroBasin","SiteID","Country","Latitude","Longitude","BiogeoRegion"
"1",2080016510,"S1468","FRA",47.0737,5.165636186,"Europe"
"2",2080016510,"S1481","FRA",46.51408,4.946774568,"Europe"
"3",2080016510,"S1548","FRA",47.13404,5.179873916,"Europe"
"4",2080016510,"S1578","FRA",46.94337,5.018529049,"Europe"
"5",2080016510,"S3412","FRA",44.28374,4.597914602,"Europe"
"6",2080016510,"S3440","FRA",44.17545,3.75054294,"Europe"
"7",2080016510,"S5166","FRA",44.61489,6.334245081,"Europe"
"8",2080016510,"S5193","FRA",43.67891,4.622915558,"Europe"
"9",2080016510,"S5212","FRA",44.26627,6.275183589,"Europe"
"10",2080016510,"S5448","FRA",46.18851,4.546427802,"Europe"
"11",2080016510,"S5449","FRA",45.94411,4.728940626,"Europe"
"12",2080016510,"S5471","FRA",45.81158,5.088671483,"Europe"
"13",2080016510,"S5472","FRA",45.6457,4.816577863,"Europe"
"14",2080016510,"S5490","FRA",45.58124,4.780833767,"Europe"
"15",2080016510,"S5546","FRA",45.71204,5.548479468,"Europe"
"16",2080016960,"S675","ESP",41.7516,2.399272,"Europe"
"17",2080016960,"S6024","ESP",41.72961,2.603859,"Europe"
"18",2080016960,"S2679","ESP",41.72662,2.422229,"Europe"
"19",2080016960,"S3237","ESP",41.72785,2.418851,"Europe"
"20",2080016960,"S3782","ESP",41.71138,2.434891,"Europe"
"21",2080016960,"S4441","ESP",41.68959,2.456891,"Europe"
"22",2080016960,"S5116","ESP",41.67996,2.467521,"Europe"
"23",2080016960,"S5561","ESP",41.69346,2.507932,"Europe"
"24",2080017150,"S7644","ESP",42.67485,-2.334549,"Europe"
"25",2080017150,"S1245","ESP",42.677,-2.896588,"Europe"
"26",2080017150,"S2548","ESP",42.77704,-3.045683,"Europe"
"27",2080017150,"S3048","ESP",42.86955,-2.26487,"Europe"
"28",2080017150,"S3785","ESP",42.69162,-2.84529,"Europe"
"29",2080017150,"S3908","ESP",42.88558,-2.498491,"Europe"
"30",2080017150,"S4024","ESP",42.87408,-3.068161,"Europe"
"31",2080017150,"S5899","ESP",42.86305,-2.577459,"Europe"
"32",2080020120,"S8253","ESP",43.17052,-2.897998,"Europe"
"33",2080020120,"S1095","ESP",43.14021,-2.939267,"Europe"
"34",2080020120,"S1657","ESP",43.21178,-2.754653,"Europe"
"35",2080020120,"S2075","ESP",43.23463,-2.88092,"Europe"
"36",2080020120,"S4061","ESP",43.22955,-2.849528,"Europe"
"37",2080020120,"S4714","ESP",43.21169,-3.095792,"Europe"
"38",2080020120,"S522","ESP",43.24153,-2.996502,"Europe"
"39",2080020120,"S5118","ESP",43.18203,-2.668698,"Europe"
"40",2080020120,"S5934","ESP",43.15482,-2.612329,"Europe"
"41",2080020330,"S416","FRA",43.54374,-1.063647133,"Europe"
"42",2080020330,"S419","FRA",43.71326,-0.406402852,"Europe"
"43",2080020330,"S420","FRA",43.7722,-0.43785662,"Europe"
"44",2080020330,"S4396","FRA",43.49785,0.028239529,"Europe"
"45",2080020330,"S4402","FRA",42.72969,-0.007806789,"Europe"
"46",2080020330,"S4408","FRA",42.85233,-0.143208746,"Europe"
"47",2080020330,"S482","FRA",43.33698,-1.026560739,"Europe"
"48",2080020330,"S484","FRA",43.17057,-0.898311791,"Europe"
"49",2080020590,"S3430","FRA",44.07533,3.491412752,"Europe"
"50",2080020590,"S3450","FRA",44.72055,3.52518019,"Europe"
"51",2080020590,"S4299","FRA",44.47406,1.425225645,"Europe"
"52",2080020590,"S4301","FRA",44.09135,1.102034196,"Europe"
"53",2080020590,"S4302","FRA",44.08287,1.348029188,"Europe"
"54",2080020590,"S4313","FRA",44.29637,2.838236118,"Europe"
"55",2080020590,"S4318","FRA",44.53032,2.792184644,"Europe"
"56",2080020590,"S4326","FRA",44.68598,2.837887003,"Europe"
"57",2080020590,"S4330","FRA",43.95292,1.171936526,"Europe"
"58",2080020590,"S4333","FRA",44.58554,2.22970346,"Europe"
"59",2080020590,"S4346","FRA",43.51213,1.387766842,"Europe"
"60",2080020590,"S4356","FRA",42.64471,1.449303835,"Europe"
"61",2080020590,"S4361","FRA",43.08432,1.83997429,"Europe"
"62",2080020590,"S4368","FRA",43.76631,2.316885261,"Europe"
"63",2080020590,"S4370","FRA",44.10212,3.086332566,"Europe"
"64",2080020590,"S4383","FRA",43.84377,0.671387005,"Europe"
"65",2080020590,"S460","FRA",44.28879,0.320432989,"Europe"
"66",2080021030,"S810","FRA",46.3937,2.603677491,"Europe"
"67",2080021030,"S811","FRA",46.34047,3.310242911,"Europe"
"68",2080021030,"S813","FRA",46.19145,3.418680007,"Europe"
"69",2080021030,"S819","FRA",46.20657,3.649999803,"Europe"
"70",2080021030,"S892","FRA",45.11562,3.490677038,"Europe"
"71",2080021030,"S894","FRA",45.25327,3.654940367,"Europe"
"72",2080021030,"S903","FRA",45.33064,4.153826302,"Europe"
"73",2080021030,"S1133","FRA",48.3854,0.83662611,"Europe"
"74",2080021030,"S1157","FRA",48.64958,-0.580241592,"Europe"
"75",2080021030,"S1159","FRA",48.69012,-0.744099437,"Europe"
"76",2080021030,"S2247","FRA",48.06747,1.290440027,"Europe"
"77",2080021030,"S2252","FRA",47.06,1.088061001,"Europe"
"78",2080021030,"S2257","FRA",47.21082,0.078099578,"Europe"
"79",2080021030,"S2290","FRA",47.34448,0.479755215,"Europe"
"80",2080021030,"S3715","FRA",45.8415,1.098091361,"Europe"
"81",2080021030,"S3723","FRA",45.98779,1.867253935,"Europe"
"82",2080021030,"S4684","FRA",47.39273,-0.860737195,"Europe"
"83",2080021030,"S4690","FRA",48.27328,-0.202792883,"Europe"
"84",2080021030,"S4692","FRA",47.81489,-0.09125947,"Europe"
"85",2080021030,"S4693","FRA",48.2545,0.045863615,"Europe"
"86",2080021030,"S4707","FRA",47.86893,-0.697232395,"Europe"
"87",2080021030,"S4723","FRA",47.21547,-0.08005605,"Europe"
"88",2080021030,"S5017","FRA",46.60793,-0.418771064,"Europe"
"89",2080021030,"S5513","FRA",45.54269,4.048647996,"Europe"
"90",2080022150,"S1558","FRA",47.66271,3.709177013,"Europe"
"91",2080022150,"S2467","FRA",48.54894,3.680825221,"Europe"
"92",2080022150,"S2515","FRA",49.237,4.409559607,"Europe"
