"","sYNGEO_ID","begin","end","span","completene","Origin","Longitude","Latitude","MAIN_BAS","Distance","idsites","BvCode","ccm2_strahler","ccm2_pfafstetter","ccm2_length","ccm2_cumlength","ccm2_drainagArea_km","ccm2_altgradient","rivex_distMouth","rivex_mainchannel","rivex_upstrlength","rivex_shreve","rivex_strahler","rivex_length","elev"
"1",1069,1994,2003,10,0.9,"Sweden",22.20259,68.48003,2080030100,1296.54616,1,"bv_60",4,91111,7867,890150,2439,0.3,447259.563,1,919602.063,172,4,8093.208357,330
"2",1068,1994,2003,10,0.9,"Sweden",22.83591,68.38307,2080030100,52.45723768,2,"bv_60",5,7919,3863,2236704,6623,0.2,400448.094,1,2310790.5,387,5,3969.284131,299
"3",1064,1994,2003,10,1,"Sweden",21.57075,68.37757,2080030100,429.8932251,3,"bv_60",4,62731,3846,676798,1917,0.6,433997.563,0,697904.813,115,4,3943.487115,432
"4",1065,1994,2003,10,1,"Sweden",21.56825,68.38117,2080030100,473.5081392,4,"bv_60",4,62731,3846,676798,1917,0.6,433997.563,0,697904.813,115,4,3943.487115,432
"5",1066,1994,2003,10,1,"Sweden",21.56946,68.38113,2080030100,520.0230772,5,"bv_60",4,62731,3846,676798,1917,0.6,433997.563,0,697904.813,115,4,3943.487115,432
"6",1067,1994,2003,10,1,"Sweden",21.56532,68.38496,2080030100,507.6116573,6,"bv_60",4,62731,3846,676798,1917,0.6,433997.563,0,697904.813,115,4,3943.487115,447
"7",1062,1994,2003,10,1,"Sweden",21.44932,68.29059,2080030100,348.1143843,7,"bv_60",4,62711,5977,707947,2063,0.1,420798.813,0,730083.875,118,4,6172.827139,420
"8",1063,1994,2003,10,0.9,"Sweden",21.45088,68.29198,2080030100,354.8725731,8,"bv_60",4,62711,5977,707947,2063,0.1,420798.813,0,730083.875,118,4,6172.827139,420
"9",1060,1994,2003,10,1,"Sweden",21.4434,68.27846,2080030100,207.1296588,9,"bv_60",5,6259,1507,881998,2590,0.3,414626,0,909072.563,142,5,1551.26362,416
"10",1061,1994,2003,10,1,"Sweden",21.44295,68.28055,2080030100,272.5203617,10,"bv_60",5,6259,1507,881998,2590,0.3,414626,0,909072.563,142,5,1551.26362,418
"11",1058,1994,2003,10,0.9,"Sweden",23.17521,68.13414,2080030100,988.970701,11,"bv_60",5,7733,2804,2742881,8327,0.1,359044.563,1,2832558.5,466,5,2900.218751,251
"12",1057,1994,2003,10,1,"Sweden",23.37577,68.0579,2080030100,13.31121778,12,"bv_60",5,7711,12223,2783611,8499,0.1,341007.781,1,2874420.25,472,5,12498.49875,241
"13",1052,1994,2003,10,0.9,"Sweden",23.59289,67.90189,2080030100,26.90925367,13,"bv_60",5,753,2797,3173208,9697,0.4,313965.188,1,3275378,545,5,2889.293534,203
"14",1041,1994,2003,10,1,"Sweden",22.64488,67.69076,2080030100,414.2252493,14,"bv_60",5,6231,13578,1513364,4999,0.3,312546.656,0,1558601.125,213,5,13842.52223,278
"15",1038,1994,2003,10,1,"Sweden",22.68281,67.6705,2080030100,882.1416544,15,"bv_60",5,6219,2914,1599929,5287,0.1,298704.125,0,1647419.625,220,5,2985.183044,260
"16",1043,1994,2003,10,1,"Sweden",23.48893,67.6925,2080030100,246.6427273,16,"bv_60",5,7375,2414,3667585,11522,0.1,284460.688,1,3782572.5,618,5,2474.910207,188
"17",1034,1994,2003,10,1,"Sweden",23.53695,67.60349,2080030100,296.5392818,17,"bv_60",5,7355,2749,3734733,11732,0.1,272066.844,1,3851413.5,631,5,2832.231801,176
"18",1033,1994,2003,10,0.9,"Sweden",23.47697,67.56764,2080030100,639.1696346,18,"bv_60",5,733,4663,3768249,11845,0.2,267285.781,1,3885697.25,635,5,4792.869144,174
"19",1031,1994,2003,10,0.9,"Sweden",23.40877,67.50346,2080030100,1524.80071,19,"bv_60",5,73151,3980,3816063,12040,0.2,255767.672,1,3934629.25,644,5,4104.233973,162
"20",1028,1994,2003,10,1,"Sweden",23.52204,67.45358,2080030100,38.43926266,20,"bv_60",5,73131,6711,3832865,12112,0.1,247700.453,1,3951784.75,646,5,6858.584261,158
"21",1029,1994,2003,10,1,"Sweden",23.43619,67.45931,2080030100,525.2398724,21,"bv_60",5,73131,6711,3832865,12112,0.1,247700.453,1,3951784.75,646,5,6858.584261,161
"22",1030,1994,2003,10,1,"Sweden",22.66322,67.50935,2080030100,59.65732726,22,"bv_60",5,62135,9453,1731287,5798,0.3,276046.219,0,1781936,236,5,9724.998699,220
"23",1019,1994,2003,10,0.9,"Sweden",22.67041,67.38497,2080030100,1575.386927,23,"bv_60",5,62113,3273,1805378,6127,0.1,257578.844,0,1857877.25,242,5,3377.604145,189
"24",1014,1994,2003,10,1,"Sweden",22.61583,67.35383,2080030100,1930.203991,24,"bv_60",6,6197,7918,5291260,16438,0.1,254055.547,0,5439501,802,6,8135.707381,182
"25",999,1994,2003,10,1,"Sweden",22.98133,67.2598,2080030100,365.2598515,25,"bv_60",6,6177,10084,5346080,16691,0.1,229104.406,0,5495455.5,808,6,10297.09644,158
"26",997,1994,2003,10,1,"Sweden",22.89947,67.24614,2080030100,9.207832576,26,"bv_60",6,6177,10084,5346080,16691,0.1,229104.406,0,5495455.5,808,6,10297.09644,164
"27",1001,1994,2003,10,0.9,"Sweden",23.25805,67.25551,2080030100,390.5826327,27,"bv_60",6,6133,8425,5445870,17075,0,212649.484,0,5597298.5,820,6,8591.611373,149
"28",993,1994,2003,10,0.9,"Sweden",23.54941,67.17837,2080030100,57.30839091,28,"bv_60",6,6111,5570,5466050,17201,0.5,194306.578,0,5617879,823,6,5683.447071,125
"29",994,1994,2003,10,1,"Sweden",23.54981,67.18034,2080030100,40.56370977,29,"bv_60",6,6111,5570,5466050,17201,0.5,194306.578,0,5617879,823,6,5683.447071,125
"30",989,1994,2003,10,0.9,"Sweden",23.69559,67.05096,2080030100,202.3078063,30,"bv_60",6,551,3228,9953659,31955,0,173239.188,1,10239509,1568,6,3284.243837,100
"31",987,1994,2003,10,1,"Sweden",23.84676,66.95416,2080030100,135.1230802,31,"bv_60",6,515,1549,9967824,32039,0,160709.781,1,10253917,1570,6,1570.268966,90
"32",988,1994,2003,10,1,"Sweden",23.85483,66.95419,2080030100,201.5334771,32,"bv_60",6,513,3714,9972121,32053,0.2,159139.516,1,10258317,1571,6,3804.04198,90
"33",984,1994,2003,10,0.9,"Sweden",23.90909,66.77172,2080030100,434.0110375,33,"bv_60",6,359,1890,10529338,34101,1.1,134136.297,1,10826949,1644,6,1935.323078,70
"34",977,1994,2003,10,0.9,"Sweden",23.79019,66.52641,2080030100,27.49216952,34,"bv_60",6,33193,4653,10752315,34842,0.2,100787.063,1,11054146,1682,6,4758.046072,54
"35",956,1994,2003,10,0.9,"Sweden",23.84662,66.17006,2080030100,148.5876354,35,"bv_60",6,173,12654,11980204,39164,0.1,61810.164,1,12304952,1861,6,12816.63811,35
"36",949,1994,2003,10,1,"Sweden",24.04693,65.95671,2080030100,155.7098092,36,"bv_60",6,1151,2097,12162272,39956,0.3,20249.664,1,12490059,1889,6,2121.342667,10
"37",946,1994,2003,10,1,"Sweden",24.11315,65.9188,2080030100,66.32882651,37,"bv_60",6,1133,2107,12172304,40016,0.4,14220.737,1,12500238,1892,6,2148.09089,4
"38",1036,1994,2003,10,0.9,"Sweden",20.32395,67.73372,2080030160,26.92558888,38,"bv_63",1,818,6077,6076,35,0.8,337327.563,0,6224.635,1,1,6224.635127,420
"39",1032,1994,2003,10,1,"Sweden",20.55569,67.67527,2080030160,745.8143362,39,"bv_63",5,8137,6211,787789,2147,0.1,319752.906,0,808240.313,161,5,6326.155202,395
"40",1024,1994,2003,10,0.9,"Sweden",21.06284,67.49525,2080030160,180.2993401,40,"bv_63",4,911,824,1030369,3265,0.5,284993.406,1,1055434,161,4,843.0976846,358
"41",1027,1994,2003,10,0.9,"Sweden",21.04824,67.50994,2080030160,163.9753207,41,"bv_63",5,8111,6918,840239,2347,0.1,291203.563,0,861903.188,167,5,7053.240958,369
"42",1020,1994,2003,10,1,"Sweden",20.56885,67.47175,2080030160,134.31404,42,"bv_63",4,95157,4356,832153,2612,0.4,314163.906,1,852564.063,129,4,4441.573933,412
"43",1022,1994,2003,10,1,"Sweden",20.53693,67.47736,2080030160,243.6338323,43,"bv_63",4,95159,1349,825432,2594,0.1,315537.938,1,845683.438,128,4,1374.019786,413
"44",1018,1994,2003,10,1,"Sweden",20.87571,67.44558,2080030160,551.3041514,44,"bv_63",4,93,12623,967099,3032,0.3,298960,1,990664.438,155,4,12946.93773,416
"45",1017,1994,2003,10,0.9,"Sweden",21.91176,67.40593,2080030160,299.8052629,45,"bv_63",5,7731,10340,2024446,6147,0.3,243267.391,1,2074635.625,348,5,10535.67744,287
"46",1016,1994,2003,10,0.8,"Sweden",21.89281,67.39216,2080030160,1245.872203,46,"bv_63",5,771,10654,2047563,6221,0.3,232731.719,1,2098281,349,5,10859.89602,284
"47",1013,1994,2003,10,0.8,"Sweden",21.9365,67.36925,2080030160,448.0973948,47,"bv_63",5,771,10654,2047563,6221,0.3,232731.719,1,2098281,349,5,10859.89602,273
"48",1012,1994,2003,10,0.8,"Sweden",22.00872,67.34325,2080030160,94.00667515,48,"bv_63",5,771,10654,2047563,6221,0.3,232731.719,1,2098281,349,5,10859.89602,259
"49",996,1994,2003,10,0.9,"Sweden",21.4575,67.29737,2080030160,55.11906813,49,"bv_63",2,2461,7101,20186,96,0.5,214176.75,0,20550.021,2,2,7231.564847,288
"50",998,1994,2003,10,1,"Sweden",21.43263,67.30842,2080030160,247.6870647,50,"bv_63",2,2461,7101,20186,96,0.5,214176.75,0,20550.021,2,2,7231.564847,291
"51",1000,1994,2003,10,0.9,"Sweden",21.37838,67.32561,2080030160,163.9546712,51,"bv_63",2,2461,7101,20186,96,0.5,214176.75,0,20550.021,2,2,7231.564847,321
"52",1002,1994,2003,10,1,"Sweden",21.35578,67.33962,2080030160,495.5857901,52,"bv_63",1,2463,9230,9229,56,0.5,223571.5,0,9394.753,1,1,9394.75341,332
