"","distance","overlap","annual_avg","DistKM","WCDistkm"
"distance",1,-0.745926621197281,-0.120168291773572,0.167997795891934,0.112053258916224
"overlap",-0.745926621197281,1,0.0433447544150496,-0.0965822661910658,-0.025035942303979
"annual_avg",-0.120168291773572,0.0433447544150496,1,-0.905385562301147,-0.900446431653829
"DistKM",0.167997795891934,-0.0965822661910658,-0.905385562301147,1,0.931881652429819
"WCDistkm",0.112053258916224,-0.025035942303979,-0.900446431653829,0.931881652429819,1
