"","distance","overlap","annual_avg","DistKM","WCDistkm"
"distance",1,-0.652788003251608,-0.100369466152731,0.146892859278024,0.0947615857753083
"overlap",-0.652788003251608,1,-0.0278077985826481,-0.0122894030580584,0.0463023406552588
"annual_avg",-0.100369466152731,-0.0278077985826481,1,-0.90582475178061,-0.901265456065774
"DistKM",0.146892859278024,-0.0122894030580584,-0.90582475178061,1,0.932619982364876
"WCDistkm",0.0947615857753083,0.0463023406552588,-0.901265456065774,0.932619982364876,1
