"","distance","overlap","annual_avg","DistKM"
"distance",1,-0.553433956528446,-0.649627832555655,0.622506349906127
"overlap",-0.553433956528446,1,0.320237162571871,-0.344163898295944
"annual_avg",-0.649627832555655,0.320237162571871,1,-0.903176975485944
"DistKM",0.622506349906127,-0.344163898295944,-0.903176975485944,1
