"","distance","overlap","annual_avg","DistKM"
"distance",1,-0.544656686997821,-0.641571624409328,0.612734600392403
"overlap",-0.544656686997821,1,0.297661121503741,-0.317975478626255
"annual_avg",-0.641571624409328,0.297661121503741,1,-0.898773943235419
"DistKM",0.612734600392403,-0.317975478626255,-0.898773943235419,1
