"","SiteID","Latitude","Longitude","BioRealm","HydroBasin","Country"
"172","S8370",67.67527,20.55569,"Palearctic",2080030160,"SWE"
"173","S8383",67.73372,20.32395,"Palearctic",2080030160,"SWE"
"174","S7985",66.20481,21.54393,"Palearctic",2080030220,"SWE"
"175","S7986",66.20836,21.44983,"Palearctic",2080030220,"SWE"
"176","S7989",66.24847,21.35575,"Palearctic",2080030220,"SWE"
"177","S8007",66.25488,21.34778,"Palearctic",2080030220,"SWE"
"178","S8017",66.28797,21.34279,"Palearctic",2080030220,"SWE"
"179","S8023",66.32216,21.37039,"Palearctic",2080030220,"SWE"
"180","S8033",66.39968,21.25441,"Palearctic",2080030220,"SWE"
"181","S8052",66.44563,21.17969,"Palearctic",2080030220,"SWE"
"182","S8053",66.44898,21.1766,"Palearctic",2080030220,"SWE"
"183","S8065",66.51782,21.10443,"Palearctic",2080030220,"SWE"
"184","S8074",66.57591,21.08861,"Palearctic",2080030220,"SWE"
"185","S7362",64.94975,21.21689,"Palearctic",2080030370,"SWE"
"186","S7410",65.02944,21.35653,"Palearctic",2080030370,"SWE"
"187","S7415",65.03844,21.32519,"Palearctic",2080030370,"SWE"
"188","S7453",65.08421,21.23722,"Palearctic",2080030370,"SWE"
"189","S7457",65.09353,21.19861,"Palearctic",2080030370,"SWE"
"190","S7498",65.10657,21.17862,"Palearctic",2080030370,"SWE"
"191","S7509",65.12375,21.11569,"Palearctic",2080030370,"SWE"
"192","S7517",65.13671,21.02997,"Palearctic",2080030370,"SWE"
"193","S7526",65.14151,20.9654,"Palearctic",2080030370,"SWE"
"194","S7531",65.15455,20.90488,"Palearctic",2080030370,"SWE"
"195","S7533",65.15723,20.91609,"Palearctic",2080030370,"SWE"
"196","S7545",65.16503,20.90069,"Palearctic",2080030370,"SWE"
"197","S7548",65.17528,20.87442,"Palearctic",2080030370,"SWE"
"198","S7568",65.20721,20.83664,"Palearctic",2080030370,"SWE"
"199","S7592",65.25953,20.79941,"Palearctic",2080030370,"SWE"
"200","S7626",65.38142,20.52085,"Palearctic",2080030370,"SWE"
"201","S7633",65.41716,20.44399,"Palearctic",2080030370,"SWE"
"202","S7371",64.97102,21.11863,"Palearctic",2080030420,"SWE"
"203","S7385",65.00037,21.04413,"Palearctic",2080030420,"SWE"
"204","S7392",65.01411,21.00092,"Palearctic",2080030420,"SWE"
"205","S7397",65.02233,20.98699,"Palearctic",2080030420,"SWE"
"206","S7398",65.02441,20.9374,"Palearctic",2080030420,"SWE"
"207","S7401",65.0352,20.77776,"Palearctic",2080030420,"SWE"
"208","S7406",65.03742,20.97971,"Palearctic",2080030420,"SWE"
"209","S7417",65.0645,20.8024,"Palearctic",2080030420,"SWE"
"210","S7448",65.09455,20.79099,"Palearctic",2080030420,"SWE"
"211","S7578",65.24196,20.40095,"Palearctic",2080030420,"SWE"
"212","S7584",65.26414,20.31857,"Palearctic",2080030420,"SWE"
"213","S7585",65.26603,20.33629,"Palearctic",2080030420,"SWE"
"214","S7593",65.27716,20.25534,"Palearctic",2080030420,"SWE"
"215","S7595",65.28448,20.21429,"Palearctic",2080030420,"SWE"
"216","S7598",65.32066,19.99853,"Palearctic",2080030420,"SWE"
"217","S7615",65.37325,19.80517,"Palearctic",2080030420,"SWE"
"218","S7627",65.41103,19.69664,"Palearctic",2080030420,"SWE"
"219","S7637",65.45165,19.55758,"Palearctic",2080030420,"SWE"
"220","S7652",65.50972,19.44885,"Palearctic",2080030420,"SWE"
"221","S7300",64.8347,20.97382,"Palearctic",2080030460,"SWE"
"222","S7303",64.83489,20.98609,"Palearctic",2080030460,"SWE"
"223","S7304",64.83987,20.9142,"Palearctic",2080030460,"SWE"
"224","S7305",64.84802,20.88534,"Palearctic",2080030460,"SWE"
"225","S7323",64.88083,20.77085,"Palearctic",2080030460,"SWE"
"226","S7328",64.88706,20.73283,"Palearctic",2080030460,"SWE"
"227","S7329",64.89011,20.71808,"Palearctic",2080030460,"SWE"
"228","S7332",64.90135,20.63502,"Palearctic",2080030460,"SWE"
"229","S7346",64.92637,20.52503,"Palearctic",2080030460,"SWE"
"230","S7347",64.93278,20.55907,"Palearctic",2080030460,"SWE"
"231","S7350",64.93851,20.56159,"Palearctic",2080030460,"SWE"
"232","S7352",64.94247,20.56187,"Palearctic",2080030460,"SWE"
"233","S7162",64.22509,20.79156,"Palearctic",2080030560,"SWE"
"234","S7166",64.24725,20.76145,"Palearctic",2080030560,"SWE"
"235","S7199",64.35773,20.40689,"Palearctic",2080030560,"SWE"
"236","S7201",64.36171,20.40859,"Palearctic",2080030560,"SWE"
"237","S7213",64.42658,20.38934,"Palearctic",2080030560,"SWE"
"238","S7216",64.4431,20.33489,"Palearctic",2080030560,"SWE"
"239","S7220",64.46302,20.2268,"Palearctic",2080030560,"SWE"
"240","S7230",64.54423,20.21594,"Palearctic",2080030560,"SWE"
"241","S7273",64.79804,19.38403,"Palearctic",2080030560,"SWE"
"242","S6914",63.91067,20.57016,"Palearctic",2080030610,"SWE"
"243","S6939",63.92861,20.57118,"Palearctic",2080030610,"SWE"
"244","S7064",63.97949,20.52726,"Palearctic",2080030610,"SWE"
"245","S7081",64.08321,20.40457,"Palearctic",2080030610,"SWE"
"246","S7084",64.08413,20.41807,"Palearctic",2080030610,"SWE"
"247","S7085",64.09298,20.40824,"Palearctic",2080030610,"SWE"
"248","S7092",64.10397,20.40184,"Palearctic",2080030610,"SWE"
"249","S7111",64.14035,20.38832,"Palearctic",2080030610,"SWE"
"250","S7112",64.1461,20.3481,"Palearctic",2080030610,"SWE"
"251","S7113",64.14626,20.35738,"Palearctic",2080030610,"SWE"
"252","S7116",64.15514,20.36089,"Palearctic",2080030610,"SWE"
"253","S7124",64.16967,20.34166,"Palearctic",2080030610,"SWE"
"254","S7125",64.17237,20.28337,"Palearctic",2080030610,"SWE"
"255","S7129",64.17794,20.37907,"Palearctic",2080030610,"SWE"
"256","S7132",64.18444,20.37231,"Palearctic",2080030610,"SWE"
"257","S7140",64.18921,20.29125,"Palearctic",2080030610,"SWE"
"258","S7148",64.19916,20.27431,"Palearctic",2080030610,"SWE"
"259","S7151",64.20192,20.35107,"Palearctic",2080030610,"SWE"
"260","S7153",64.20432,20.34011,"Palearctic",2080030610,"SWE"
"261","S7154",64.2041,20.37617,"Palearctic",2080030610,"SWE"
"262","S7159",64.22644,20.18995,"Palearctic",2080030610,"SWE"
"263","S7170",64.27644,20.25994,"Palearctic",2080030610,"SWE"
"264","S7174",64.29441,20.17077,"Palearctic",2080030610,"SWE"
"265","S7178",64.29622,20.23003,"Palearctic",2080030610,"SWE"
"266","S7185",64.32359,20.12609,"Palearctic",2080030610,"SWE"
"267","S6887",63.86928,20.33384,"Palearctic",2080030630,"SWE"
"268","S6890",63.87237,20.3639,"Palearctic",2080030630,"SWE"
"269","S6934",63.93509,20.29853,"Palearctic",2080030630,"SWE"
"270","S6969",63.94534,20.30119,"Palearctic",2080030630,"SWE"
"271","S7067",63.99848,20.20941,"Palearctic",2080030630,"SWE"
"272","S7102",64.12414,20.09464,"Palearctic",2080030630,"SWE"
"273","S6801",63.62494,19.91101,"Palearctic",2080030660,"SWE"
"274","S6809",63.66073,19.9162,"Palearctic",2080030660,"SWE"
"275","S6812",63.67311,19.90788,"Palearctic",2080030660,"SWE"
"276","S6817",63.68108,19.89587,"Palearctic",2080030660,"SWE"
"277","S6831",63.7049,19.84768,"Palearctic",2080030660,"SWE"
"278","S6833",63.71532,19.79648,"Palearctic",2080030660,"SWE"
"279","S6841",63.73073,19.77534,"Palearctic",2080030660,"SWE"
"280","S6850",63.77218,19.63805,"Palearctic",2080030660,"SWE"
"281","S6851",63.77164,19.65828,"Palearctic",2080030660,"SWE"
"282","S6853",63.7725,19.6594,"Palearctic",2080030660,"SWE"
"283","S6857",63.79336,19.54952,"Palearctic",2080030660,"SWE"
"284","S6859",63.79376,19.5516,"Palearctic",2080030660,"SWE"
"285","S6870",63.83293,19.51308,"Palearctic",2080030660,"SWE"
"286","S6882",63.86509,19.48473,"Palearctic",2080030660,"SWE"
"287","S6897",63.92051,19.442,"Palearctic",2080030660,"SWE"
"288","S6898",63.92099,19.44106,"Palearctic",2080030660,"SWE"
"289","S6900",63.92601,19.36519,"Palearctic",2080030660,"SWE"
"290","S6959",63.97206,19.29949,"Palearctic",2080030660,"SWE"
"291","S6964",63.96962,19.41774,"Palearctic",2080030660,"SWE"
"292","S6791",63.57538,19.67725,"Palearctic",2080030710,"SWE"
"293","S6793",63.58913,19.66381,"Palearctic",2080030710,"SWE"
"294","S6796",63.60541,19.66299,"Palearctic",2080030710,"SWE"
"295","S6797",63.60622,19.66269,"Palearctic",2080030710,"SWE"
"296","S6806",63.65645,19.61534,"Palearctic",2080030710,"SWE"
"297","S6821",63.69368,19.60334,"Palearctic",2080030710,"SWE"
"298","S6835",63.72653,19.49405,"Palearctic",2080030710,"SWE"
"299","S6836",63.73149,19.44749,"Palearctic",2080030710,"SWE"
"300","S6861",63.80296,19.34759,"Palearctic",2080030710,"SWE"
"301","S6866",63.82513,19.32232,"Palearctic",2080030710,"SWE"
"302","S6867",63.82631,19.32918,"Palearctic",2080030710,"SWE"
"303","S7041",63.98931,19.13905,"Palearctic",2080030710,"SWE"
"304","S6810",63.69297,19.08089,"Palearctic",2080030760,"SWE"
"305","S6811",63.69333,19.08498,"Palearctic",2080030760,"SWE"
"306","S6815",63.69818,19.04911,"Palearctic",2080030760,"SWE"
"307","S6879",63.87545,18.80277,"Palearctic",2080030760,"SWE"
"308","S6883",63.87921,18.9054,"Palearctic",2080030760,"SWE"
"309","S6905",63.94537,18.82515,"Palearctic",2080030760,"SWE"
"310","S6909",63.94888,18.83307,"Palearctic",2080030760,"SWE"
"311","S7043",63.99968,18.67495,"Palearctic",2080030760,"SWE"
"312","S6720",63.18881,17.59758,"Palearctic",2080031060,"SWE"
"313","S6728",63.20761,17.58681,"Palearctic",2080031060,"SWE"
"314","S6742",63.29761,17.52078,"Palearctic",2080031060,"SWE"
"315","S7179",64.36333,16.47272,"Palearctic",2080031060,"SWE"
"316","S7181",64.37107,16.44598,"Palearctic",2080031060,"SWE"
"317","S7186",64.39109,16.37803,"Palearctic",2080031060,"SWE"
"318","S7203",64.43496,16.27308,"Palearctic",2080031060,"SWE"
"319","S4939",59.64708,14.73761,"Palearctic",2080031740,"SWE"
"320","S4948",59.65802,15.9435,"Palearctic",2080031740,"SWE"
"321","S5241",59.82648,15.50117,"Palearctic",2080031740,"SWE"
"322","S5258",59.84797,15.48045,"Palearctic",2080031740,"SWE"
"323","S5358",59.91915,15.52086,"Palearctic",2080031740,"SWE"
"324","S4128",58.99735,17.93951,"Palearctic",2080031750,"SWE"
"325","S4129",58.99968,17.91808,"Palearctic",2080031750,"SWE"
"326","S4130",59.00001,17.93063,"Palearctic",2080031750,"SWE"
"327","S4201",59.07941,17.5701,"Palearctic",2080031750,"SWE"
"328","S4207",59.0814,17.60108,"Palearctic",2080031750,"SWE"
"329","S4210",59.08259,17.55369,"Palearctic",2080031750,"SWE"
"330","S4241",59.11358,17.80234,"Palearctic",2080031750,"SWE"
"331","S4255",59.13568,17.8363,"Palearctic",2080031750,"SWE"
"332","S4265",59.14196,17.84768,"Palearctic",2080031750,"SWE"
"333","S4291",59.16934,18.33819,"Palearctic",2080031750,"SWE"
"334","S2896",57.7924,15.06656,"Palearctic",2080031960,"SWE"
"335","S2966",57.83064,15.09675,"Palearctic",2080031960,"SWE"
"336","S3039",57.85491,15.35952,"Palearctic",2080031960,"SWE"
"337","S3103",57.88606,15.38206,"Palearctic",2080031960,"SWE"
"338","S3109",57.88794,15.38036,"Palearctic",2080031960,"SWE"
"339","S3115",57.88999,15.37747,"Palearctic",2080031960,"SWE"
"340","S3217",57.97065,15.51203,"Palearctic",2080031960,"SWE"
"341","S3253",57.98852,15.51458,"Palearctic",2080031960,"SWE"
"342","S3271",57.9975,14.43121,"Palearctic",2080031960,"SWE"
"343","S3338",58.04579,14.18549,"Palearctic",2080031960,"SWE"
"344","S1593",57.1254,16.48215,"Palearctic",2080032230,"SWE"
"345","S1597",57.12733,16.32251,"Palearctic",2080032230,"SWE"
"346","S1599",57.1271,16.48383,"Palearctic",2080032230,"SWE"
"347","S1606",57.13005,16.12341,"Palearctic",2080032230,"SWE"
"348","S1611",57.13044,16.25931,"Palearctic",2080032230,"SWE"
"349","S1760",57.21177,15.91063,"Palearctic",2080032230,"SWE"
"350","S1798",57.23677,15.84645,"Palearctic",2080032230,"SWE"
"351","S1800",57.23722,15.85323,"Palearctic",2080032230,"SWE"
"352","S1818",57.24958,15.39769,"Palearctic",2080032230,"SWE"
"353","S2109",57.42731,15.46663,"Palearctic",2080032230,"SWE"
"354","S2119",57.43409,15.39315,"Palearctic",2080032230,"SWE"
"355","S2136",57.4472,14.96078,"Palearctic",2080032230,"SWE"
"356","S2784",57.72231,15.38818,"Palearctic",2080032230,"SWE"
"357","S2785",57.72321,15.38901,"Palearctic",2080032230,"SWE"
"358","S1559",57.08451,14.84866,"Palearctic",2080032600,"SWE"
"359","S1581",57.11136,15.10709,"Palearctic",2080032600,"SWE"
"360","S1674",57.17078,14.78855,"Palearctic",2080032600,"SWE"
"361","S417",56.17385,14.75027,"Palearctic",2080032600,"SWE"
"362","S469",56.1919,14.74938,"Palearctic",2080032600,"SWE"
"363","S491",56.19996,14.74756,"Palearctic",2080032600,"SWE"
"364","S561",56.22469,14.7617,"Palearctic",2080032600,"SWE"
"365","S591",56.24097,14.77912,"Palearctic",2080032600,"SWE"
"366","S666",56.29113,14.74746,"Palearctic",2080032600,"SWE"
"367","S678",56.29199,14.7442,"Palearctic",2080032600,"SWE"
"368","S969",56.47667,13.86263,"Palearctic",2080032670,"SWE"
"369","S1283",56.83025,14.18595,"Palearctic",2080032670,"SWE"
"370","S1362",56.86345,14.21812,"Palearctic",2080032670,"SWE"
"371","S374",56.1031,14.12807,"Palearctic",2080032670,"SWE"
"372","S439",56.1741,14.04177,"Palearctic",2080032670,"SWE"
"373","S553",56.21579,14.16168,"Palearctic",2080032670,"SWE"
"374","S560",56.20825,13.62963,"Palearctic",2080032670,"SWE"
"375","S592",56.22996,13.65356,"Palearctic",2080032670,"SWE"
"376","S609",56.2464,13.64359,"Palearctic",2080032670,"SWE"
"377","S660",56.26715,13.6329,"Palearctic",2080032670,"SWE"
"378","S998",56.49314,13.2541,"Palearctic",2080033010,"SWE"
"379","S1054",56.59408,13.29648,"Palearctic",2080033010,"SWE"
"380","S1065",56.61503,13.47268,"Palearctic",2080033010,"SWE"
"381","S1528",57.05423,14.19136,"Palearctic",2080033010,"SWE"
"382","S1531",57.05587,14.20003,"Palearctic",2080033010,"SWE"
"383","S1554",57.07559,14.23298,"Palearctic",2080033010,"SWE"
"384","S2123",57.4319,14.48663,"Palearctic",2080033010,"SWE"
"385","S2310",57.52735,14.06415,"Palearctic",2080033010,"SWE"
"386","S2329",57.53995,14.13307,"Palearctic",2080033010,"SWE"
"387","S2355",57.54925,14.12241,"Palearctic",2080033010,"SWE"
"388","S2366",57.55807,14.11031,"Palearctic",2080033010,"SWE"
"389","S1041",56.57863,13.07844,"Palearctic",2080033020,"SWE"
"390","S1060",56.60055,13.12649,"Palearctic",2080033020,"SWE"
"391","S1081",56.62094,13.20762,"Palearctic",2080033020,"SWE"
"392","S1100",56.63851,13.06206,"Palearctic",2080033020,"SWE"
"393","S1111",56.66469,13.07866,"Palearctic",2080033020,"SWE"
"394","S1121",56.66922,12.92841,"Palearctic",2080033020,"SWE"
"395","S1129",56.68725,12.98327,"Palearctic",2080033020,"SWE"
"396","S1173",56.70074,13.03063,"Palearctic",2080033020,"SWE"
