"","SiteID","Latitude","Longitude","BioRealm","HydroBasin","Country"
"1","S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA"
"2","S1481",46.51408,4.946774568,"Palearctic",2080016510,"FRA"
"3","S1548",47.13404,5.179873916,"Palearctic",2080016510,"FRA"
"4","S1578",46.94337,5.018529049,"Palearctic",2080016510,"FRA"
"5","S3412",44.28374,4.597914602,"Palearctic",2080016510,"FRA"
"6","S3440",44.17545,3.75054294,"Palearctic",2080016510,"FRA"
"7","S5193",43.67891,4.622915558,"Palearctic",2080016510,"FRA"
"8","S5449",45.94411,4.728940626,"Palearctic",2080016510,"FRA"
"9","S5471",45.81158,5.088671483,"Palearctic",2080016510,"FRA"
"10","S5472",45.6457,4.816577863,"Palearctic",2080016510,"FRA"
"11","S5490",45.58124,4.780833767,"Palearctic",2080016510,"FRA"
"12","S5546",45.71204,5.548479468,"Palearctic",2080016510,"FRA"
"13","S6024",41.72961,2.603859,"Palearctic",2080016960,"ESP"
"14","S2679",41.72662,2.422229,"Palearctic",2080016960,"ESP"
"15","S3237",41.72785,2.418851,"Palearctic",2080016960,"ESP"
"16","S3782",41.71138,2.434891,"Palearctic",2080016960,"ESP"
"17","S4441",41.68959,2.456891,"Palearctic",2080016960,"ESP"
"18","S7644",42.67485,-2.334549,"Palearctic",2080017150,"ESP"
"19","S1245",42.677,-2.896588,"Palearctic",2080017150,"ESP"
"20","S2548",42.77704,-3.045683,"Palearctic",2080017150,"ESP"
"21","S3048",42.86955,-2.26487,"Palearctic",2080017150,"ESP"
"22","S3785",42.69162,-2.84529,"Palearctic",2080017150,"ESP"
"23","S3908",42.88558,-2.498491,"Palearctic",2080017150,"ESP"
"24","S4024",42.87408,-3.068161,"Palearctic",2080017150,"ESP"
"25","S5899",42.86305,-2.577459,"Palearctic",2080017150,"ESP"
"26","S8253",43.17052,-2.897998,"Palearctic",2080020120,"ESP"
"27","S1095",43.14021,-2.939267,"Palearctic",2080020120,"ESP"
"28","S1657",43.21178,-2.754653,"Palearctic",2080020120,"ESP"
"29","S2075",43.23463,-2.88092,"Palearctic",2080020120,"ESP"
"30","S4061",43.22955,-2.849528,"Palearctic",2080020120,"ESP"
"31","S4714",43.21169,-3.095792,"Palearctic",2080020120,"ESP"
"32","S522",43.24153,-2.996502,"Palearctic",2080020120,"ESP"
"33","S5118",43.18203,-2.668698,"Palearctic",2080020120,"ESP"
"34","S5934",43.15482,-2.612329,"Palearctic",2080020120,"ESP"
"35","S416",43.54374,-1.063647133,"Palearctic",2080020330,"FRA"
"36","S419",43.71326,-0.406402852,"Palearctic",2080020330,"FRA"
"37","S420",43.7722,-0.43785662,"Palearctic",2080020330,"FRA"
"38","S4396",43.49785,0.028239529,"Palearctic",2080020330,"FRA"
"39","S482",43.33698,-1.026560739,"Palearctic",2080020330,"FRA"
"40","S484",43.17057,-0.898311791,"Palearctic",2080020330,"FRA"
"41","S4299",44.47406,1.425225645,"Palearctic",2080020590,"FRA"
"42","S4301",44.09135,1.102034196,"Palearctic",2080020590,"FRA"
"43","S4302",44.08287,1.348029188,"Palearctic",2080020590,"FRA"
"44","S4313",44.29637,2.838236118,"Palearctic",2080020590,"FRA"
"45","S4318",44.53032,2.792184644,"Palearctic",2080020590,"FRA"
"46","S4330",43.95292,1.171936526,"Palearctic",2080020590,"FRA"
"47","S4333",44.58554,2.22970346,"Palearctic",2080020590,"FRA"
"48","S4346",43.51213,1.387766842,"Palearctic",2080020590,"FRA"
"49","S4361",43.08432,1.83997429,"Palearctic",2080020590,"FRA"
"50","S4368",43.76631,2.316885261,"Palearctic",2080020590,"FRA"
"51","S4370",44.10212,3.086332566,"Palearctic",2080020590,"FRA"
"52","S4383",43.84377,0.671387005,"Palearctic",2080020590,"FRA"
"53","S460",44.28879,0.320432989,"Palearctic",2080020590,"FRA"
"54","S810",46.3937,2.603677491,"Palearctic",2080021030,"FRA"
"55","S811",46.34047,3.310242911,"Palearctic",2080021030,"FRA"
"56","S813",46.19145,3.418680007,"Palearctic",2080021030,"FRA"
"57","S819",46.20657,3.649999803,"Palearctic",2080021030,"FRA"
"58","S892",45.11562,3.490677038,"Palearctic",2080021030,"FRA"
"59","S894",45.25327,3.654940367,"Palearctic",2080021030,"FRA"
"60","S903",45.33064,4.153826302,"Palearctic",2080021030,"FRA"
"61","S1133",48.3854,0.83662611,"Palearctic",2080021030,"FRA"
"62","S1157",48.64958,-0.580241592,"Palearctic",2080021030,"FRA"
"63","S1159",48.69012,-0.744099437,"Palearctic",2080021030,"FRA"
"64","S2247",48.06747,1.290440027,"Palearctic",2080021030,"FRA"
"65","S2252",47.06,1.088061001,"Palearctic",2080021030,"FRA"
"66","S2257",47.21082,0.078099578,"Palearctic",2080021030,"FRA"
"67","S2290",47.34448,0.479755215,"Palearctic",2080021030,"FRA"
"68","S3715",45.8415,1.098091361,"Palearctic",2080021030,"FRA"
"69","S3723",45.98779,1.867253935,"Palearctic",2080021030,"FRA"
"70","S4684",47.39273,-0.860737195,"Palearctic",2080021030,"FRA"
"71","S4690",48.27328,-0.202792883,"Palearctic",2080021030,"FRA"
"72","S4692",47.81489,-0.09125947,"Palearctic",2080021030,"FRA"
"73","S4693",48.2545,0.045863615,"Palearctic",2080021030,"FRA"
"74","S4707",47.86893,-0.697232395,"Palearctic",2080021030,"FRA"
"75","S4723",47.21547,-0.08005605,"Palearctic",2080021030,"FRA"
"76","S5017",46.60793,-0.418771064,"Palearctic",2080021030,"FRA"
"77","S1558",47.66271,3.709177013,"Palearctic",2080022150,"FRA"
"78","S2467",48.54894,3.680825221,"Palearctic",2080022150,"FRA"
"79","S2515",49.237,4.409559607,"Palearctic",2080022150,"FRA"
"80","S2523",48.57321,3.777467513,"Palearctic",2080022150,"FRA"
"81","S2528",48.22713,4.29717781,"Palearctic",2080022150,"FRA"
"82","S2541",49.58374,4.307492368,"Palearctic",2080022150,"FRA"
"83","S2543",49.48011,4.579073297,"Palearctic",2080022150,"FRA"
"84","S2545",48.99656,4.241690712,"Palearctic",2080022150,"FRA"
"85","S2552",48.50738,3.88982603,"Palearctic",2080022150,"FRA"
"86","S3159",49.31014,1.23665644,"Palearctic",2080022150,"FRA"
"87","S3175",49.35352,1.325227245,"Palearctic",2080022150,"FRA"
"88","S3257",49.12606,2.171535869,"Palearctic",2080022150,"FRA"
"89","S3260",49.14545,2.285255527,"Palearctic",2080022150,"FRA"
"90","S3270",49.02871,1.618921412,"Palearctic",2080022150,"FRA"
"91","S3283",48.29541,2.782063274,"Palearctic",2080022150,"FRA"
"92","S3867",49.22789,5.034368743,"Palearctic",2080022150,"FRA"
"93","S4857",49.3029,2.604164303,"Palearctic",2080022150,"FRA"
"94","S4863",49.43615,2.876470159,"Palearctic",2080022150,"FRA"
"95","S4864",49.26901,1.883369935,"Palearctic",2080022150,"FRA"
"96","S5",48.3125,7.713469027,"Palearctic",2080023010,"FRA"
"97","S6",48.25271,7.675227352,"Palearctic",2080023010,"FRA"
"98","S42",48.35528,7.580241699,"Palearctic",2080023010,"FRA"
"99","S7",48.25453,7.679114042,"Palearctic",2080023010,"FRA"
"100","S63",47.53952,7.175098786,"Palearctic",2080023010,"FRA"
"101","S8",48.68385,7.916471249,"Palearctic",2080023010,"FRA"
"102","S3870",49.17183,5.681327109,"Palearctic",2080023010,"FRA"
"103","S3901",49.44907,6.346834842,"Palearctic",2080023010,"FRA"
"104","S3957",48.96434,6.877591998,"Palearctic",2080023010,"FRA"
"105","S3966",48.128,6.51566334,"Palearctic",2080023010,"FRA"
"106","S3972",48.5795,6.628375786,"Palearctic",2080023010,"FRA"
"107","S10015",62.257,21.70723,"Palearctic",2080029400,"FIN"
"108","S10038",62.23097,21.62033,"Palearctic",2080029400,"FIN"
"109","S11887",62.25215,21.50644,"Palearctic",2080029400,"FIN"
"110","S11924",62.18825,21.79551,"Palearctic",2080029400,"FIN"
"111","S11928",62.24074,21.56713,"Palearctic",2080029400,"FIN"
"112","S12211",62.17077,21.87122,"Palearctic",2080029400,"FIN"
"113","S12290",62.18614,21.80866,"Palearctic",2080029400,"FIN"
"114","S12298",62.23755,21.74352,"Palearctic",2080029400,"FIN"
"115","S12306",62.24244,21.73995,"Palearctic",2080029400,"FIN"
"116","S12317",62.19841,21.79455,"Palearctic",2080029400,"FIN"
"117","S8284",67.17837,23.54941,"Palearctic",2080030100,"SWE"
"118","S8286",67.18034,23.54981,"Palearctic",2080030100,"SWE"
"119","S8295",67.24614,22.89947,"Palearctic",2080030100,"SWE"
"120","S8298",67.2598,22.98133,"Palearctic",2080030100,"SWE"
"121","S8302",67.25551,23.25805,"Palearctic",2080030100,"SWE"
"122","S8330",67.35383,22.61583,"Palearctic",2080030100,"SWE"
"123","S8341",67.38497,22.67041,"Palearctic",2080030100,"SWE"
"124","S8355",67.4478,22.66175,"Palearctic",2080030100,"SWE"
"125","S8362",67.50935,22.66322,"Palearctic",2080030100,"SWE"
"126","S8379",67.69078,21.43046,"Palearctic",2080030100,"SWE"
"127","S8387",67.6705,22.68281,"Palearctic",2080030100,"SWE"
"128","S8388",67.73616,21.01847,"Palearctic",2080030100,"SWE"
"129","S8390",67.73463,21.16798,"Palearctic",2080030100,"SWE"
"130","S8391",67.69076,22.64488,"Palearctic",2080030100,"SWE"
"131","S8392",67.77568,20.92657,"Palearctic",2080030100,"SWE"
"132","S8433",67.76319,23.25594,"Palearctic",2080030100,"SWE"
"133","S8476",68.12228,21.6376,"Palearctic",2080030100,"SWE"
"134","S8477",68.12248,21.64198,"Palearctic",2080030100,"SWE"
"135","S8478",68.12712,21.61758,"Palearctic",2080030100,"SWE"
"136","S8484",68.27846,21.4434,"Palearctic",2080030100,"SWE"
"137","S8485",68.28055,21.44295,"Palearctic",2080030100,"SWE"
"138","S8486",68.29059,21.44932,"Palearctic",2080030100,"SWE"
"139","S8490",68.29198,21.45088,"Palearctic",2080030100,"SWE"
"140","S8492",68.37757,21.57075,"Palearctic",2080030100,"SWE"
"141","S8493",68.38117,21.56825,"Palearctic",2080030100,"SWE"
"142","S8494",68.38113,21.56946,"Palearctic",2080030100,"SWE"
"143","S8496",68.38496,21.56532,"Palearctic",2080030100,"SWE"
"144","S7831",65.881,23.00482,"Palearctic",2080030160,"SWE"
"145","S7850",65.9501,22.87432,"Palearctic",2080030160,"SWE"
"146","S7878",66.00251,22.84993,"Palearctic",2080030160,"SWE"
"147","S7935",66.07586,22.73135,"Palearctic",2080030160,"SWE"
"148","S7987",66.15986,22.80498,"Palearctic",2080030160,"SWE"
"149","S8057",66.40654,22.80129,"Palearctic",2080030160,"SWE"
"150","S8064",66.45647,22.65779,"Palearctic",2080030160,"SWE"
"151","S8079",66.53137,22.75105,"Palearctic",2080030160,"SWE"
"152","S8081",66.56617,22.46747,"Palearctic",2080030160,"SWE"
"153","S8084",66.55626,22.75079,"Palearctic",2080030160,"SWE"
"154","S8143",66.62494,22.40508,"Palearctic",2080030160,"SWE"
"155","S8146",66.61378,22.75224,"Palearctic",2080030160,"SWE"
"156","S8174",66.83121,22.76161,"Palearctic",2080030160,"SWE"
"157","S8177",66.89819,22.00417,"Palearctic",2080030160,"SWE"
"158","S8180",66.91207,22.78586,"Palearctic",2080030160,"SWE"
"159","S8261",67.15355,21.53464,"Palearctic",2080030160,"SWE"
"160","S8272",67.19177,21.6024,"Palearctic",2080030160,"SWE"
"161","S8289",67.25057,22.3153,"Palearctic",2080030160,"SWE"
"162","S8321",67.34325,22.00872,"Palearctic",2080030160,"SWE"
"163","S8329",67.36925,21.9365,"Palearctic",2080030160,"SWE"
"164","S8335",67.39216,21.89281,"Palearctic",2080030160,"SWE"
"165","S8337",67.40593,21.91176,"Palearctic",2080030160,"SWE"
"166","S8338",67.44558,20.87571,"Palearctic",2080030160,"SWE"
"167","S8345",67.47175,20.56885,"Palearctic",2080030160,"SWE"
"168","S8346",67.42914,21.84299,"Palearctic",2080030160,"SWE"
"169","S8347",67.47736,20.53693,"Palearctic",2080030160,"SWE"
"170","S8354",67.49525,21.06284,"Palearctic",2080030160,"SWE"
"171","S8356",67.50994,21.04824,"Palearctic",2080030160,"SWE"
