"","distance","overlap","annual_avg","DistKM"
"distance",1,-0.590504463958342,-0.663184557227281,0.641701142871398
"overlap",-0.590504463958342,1,0.328516759954151,-0.359246469147426
"annual_avg",-0.663184557227281,0.328516759954151,1,-0.886604291514354
"DistKM",0.641701142871398,-0.359246469147426,-0.886604291514354,1
