"","ZDistance","ZOverlap","ZTemp","DistKM"
"ZDistance",1,-0.591829955008796,-0.651810963918828,0.630635962375214
"ZOverlap",-0.591829955008796,1,0.321036454395856,-0.350696892801897
"ZTemp",-0.651810963918828,0.321036454395856,1,-0.870512099708599
"DistKM",0.630635962375214,-0.350696892801897,-0.870512099708599,1
