"","distance","overlap","annual_avgC","Sync","WCDistkm"
"distance",1,-0.724448455278531,-0.159888623108149,-0.0252673576224902,0.204659458815745
"overlap",-0.724448455278531,1,0.0985153726656942,-0.0746640931979818,-0.155695404542791
"annual_avgC",-0.159888623108149,0.0985153726656942,1,0.0178909710164942,-0.734700237281044
"Sync",-0.0252673576224902,-0.0746640931979818,0.0178909710164942,1,-0.023514808478281
"WCDistkm",0.204659458815745,-0.155695404542791,-0.734700237281044,-0.023514808478281,1
