"","distance","overlap","annual_avgC","Sync","WCDistkm"
"distance",1,-0.878950714542894,-0.143637714423734,-0.0520297740327943,0.137040497184595
"overlap",-0.878950714542894,1,0.127711298196895,0.0759698558708101,-0.0919533403715366
"annual_avgC",-0.143637714423734,0.127711298196895,1,0.152312292978137,-0.865529649101315
"Sync",-0.0520297740327943,0.0759698558708101,0.152312292978137,1,-0.197900546676997
"WCDistkm",0.137040497184595,-0.0919533403715366,-0.865529649101315,-0.197900546676997,1
