"","distance","overlap","annual_avg","DistKM"
"distance",1,-0.603333102408888,-0.674518747809745,0.654916352205332
"overlap",-0.603333102408888,1,0.359146634883465,-0.392717254813082
"annual_avg",-0.674518747809745,0.359146634883465,1,-0.892877513119949
"DistKM",0.654916352205332,-0.392717254813082,-0.892877513119949,1
