"","Region","Variable","MinVals","MaxVals","MeanVals","SdtError"
"1","Europe","Sync",0.0663987065441559,0.992912046423709,0.619188007059693,0.0021189335624026
"2","Europe","WCDistkm",NA,NA,NA,NA
"3","Europe","annual_avgC",0.857376790764916,1,0.995320681547509,0.0001612595760099
"4","Europe","distance",1.21707226062526e-05,0.139298472711905,0.0264980532767527,0.000307651852569004
"5","Europe","overlap",6.06450433958264e-17,0.971460552584098,0.414548696996483,0.00332904185325754
"6","Europe","overlapScaled",0.0039475380003706,0.990187210840687,0.526702471284012,0.00273779789450723
"7","Oceania","Sync",0.0915826278355828,0.974710073359526,0.576492832794404,0.00391156885587553
"8","Oceania","WCDistkm",NA,NA,NA,NA
"9","Oceania","annual_avgC",0.973610711132504,1,0.994788583662245,0.000130402505896057
"10","Oceania","distance",6.18273866693168e-05,0.0665059759415206,0.0193500707763416,0.00033945032167181
"11","Oceania","overlap",9.6850415268893e-17,0.961786278632728,0.503908680842216,0.00558479357564657
"12","Oceania","overlapScaled",0.080788600399297,0.919295634539796,0.546530120809138,0.00374013937841606
"13","USA","Sync",0.0889630165066543,0.957943142518175,0.545211252380944,0.00331402715029019
"14","USA","WCDistkm",0.6324158233,2831.782248,1015.897357674,13.409444182484
"15","USA","annual_avgC",0.8193596523272,1,0.948084144517954,0.000900062751990595
"16","USA","distance",6.01680186914462e-05,0.103402657142871,0.0276764701838842,0.000382030645803226
"17","USA","overlap",1.61480950202118e-07,0.968446931392615,0.467154740018139,0.00518130030181863
"18","USA","overlapScaled",0.0384283941917586,0.950851951583897,0.525898927825058,0.00362388358944156
