"","ZDistance","ZOverlap","ZTemp","DistKM"
"ZDistance",1,-0.599919242324838,-0.626258927790247,0.594995233436183
"ZOverlap",-0.599919242324838,1,0.309360514539236,-0.331482341813581
"ZTemp",-0.626258927790247,0.309360514539236,1,-0.824451610745279
"DistKM",0.594995233436183,-0.331482341813581,-0.824451610745279,1
